subjectid,gender,birthdate,genotype,cagenumber,health,cagemates,experimenter,tasktypedone,notes,intensityofcost1,intensityofcost2,intensityofcost3,intensityofcost4,costprobability1,costprobability2,costprobability3,costprobability4,rewardconcentration1,rewardconcentration2,rewardconcentration3,rewardconcentration4,rewardvolume1,rewardvolume2,rewardvolume3,rewardvolume4,rewardprobability1,rewardprobability2,rewardprobability3,rewardprobability4,mazenumber,approachavoidtimestamp,approachavoid,playstarttrialtone,presentcost,lightlevel,referencetime,videostartime,feeder,stoptrack,trialname,detectionsettings,trialcontrolsettings,referenceduration,animalid,mazeofferdelivery,mazenoofferdelivery,starttime,recordingafter,recordingduration,trialduration,mazecostoff,coordinatetimes,xcoordinates,ycoordinates,presentcostend,costpresenetationfinish,stopincopixrecording,decisionmakingtime,startincopixrecording,date,activezonetimestamp,activezonevalue,presentcostontimestamp,costacknowledgementtimestamp,deliveryacknowledgementtimestamp,coordinatetimes2,xcoordinates2,ycoordinates2,xtail,ytail,xnose,ynose,direction,truextail,trueytail,truexnose,trueynose,truedirection,id
sarah,Female,07/06/2021,CRL: Long Evans,14290,N/A,Alexis,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,11.1,1.000000,2,3,1,01/05/2022 15:43:58.5,01/05/2022 15:43:58.4,1,20.1,Trial     7,v.1 Detection Settings,P2 Diagonal L2,0:00:27.2,Sarah,11.1,13.1,01/05/2022 15:43:58.5,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53128
kryssia,Female,07/06/2021,CRL: Long Evans,14291,N/A,Raven,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,3,1,01/05/2022 15:43:58.5,01/05/2022 15:43:58.4,1,20.1,Trial     7,v.1 Detection Settings,P2 Diagonal L2,0:00:27.2,Kryssia,13.1,11.1,01/05/2022 15:43:58.5,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53129
simba,male,07/06/2021,CRL: Long Evans,14300,N/A,Scar,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,3,1,01/05/2022 15:20:58.6,01/05/2022 15:20:58.6,2,20.1,Trial    10,v.1 Detection Settings,P2 Grid L2,0:00:27.2,Fake Rat og,13.1,11.1,01/05/2022 15:20:58.6,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53130
raven,Female,07/06/2021,CRL: Long Evans,14291,N/A,Kryssia,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,3,1,01/05/2022 15:43:58.5,01/05/2022 15:43:58.4,1,20.1,Trial     7,v.1 Detection Settings,P2 Diagonal L2,0:00:27.2,Raven,13.1,11.1,01/05/2022 15:43:58.5,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53131
jimi,Male,07/06/2021,CRL: Long Evans,14301,N/A,Johnny,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,3,1,01/05/2022 15:20:58.6,01/05/2022 15:20:58.6,2,20.1,Trial    10,v.1 Detection Settings,P2 Grid L2,0:00:27.2,Scar,13.1,11.1,01/05/2022 15:20:58.6,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53132
johnny,male,07/06/2021,CRL: Long Evans,14301,N/A,jimi,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,11.1,1.000000,2,3,1,01/05/2022 15:20:58.6,01/05/2022 15:20:58.6,2,20.1,Trial    10,v.1 Detection Settings,P2 Grid L2,0:00:27.2,Simba,11.1,13.1,01/05/2022 15:20:58.6,0:00:07.0,0:00:20.2,0:00:27.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53133
alexis,Female,07/06/2021,CRL: Long Evans,14290,N/A,Sarah,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,3,1,01/05/2022 15:44:46.7,01/05/2022 15:44:46.6,4,20.4,Trial     8,v.1 Detection Settings,P2 Radial L2,0:00:27.5,Alexis,13.4,11.1,01/05/2022 15:44:46.7,0:00:07.0,0:00:20.5,0:00:27.5,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53134
sarah,Female,07/06/2021,CRL: Long Evans,14290,N/A,Alexis,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,3,1,01/05/2022 15:44:46.7,01/05/2022 15:44:46.6,4,20.4,Trial     8,v.1 Detection Settings,P2 Radial L2,0:00:27.5,Sarah,13.4,11.1,01/05/2022 15:44:46.7,0:00:07.0,0:00:20.5,0:00:27.5,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53135
kryssia,Female,07/06/2021,CRL: Long Evans,14291,N/A,Raven,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,11.4,1.000000,2,3,1,01/05/2022 15:44:46.7,01/05/2022 15:44:46.6,4,20.4,Trial     8,v.1 Detection Settings,P2 Radial L2,0:00:27.5,Kryssia,11.4,13.4,01/05/2022 15:44:46.7,0:00:07.0,0:00:20.5,0:00:27.5,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53136
raven,Female,07/06/2021,CRL: Long Evans,14291,N/A,Kryssia,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,3,1,01/05/2022 15:44:46.7,01/05/2022 15:44:46.6,4,20.4,Trial     8,v.1 Detection Settings,P2 Radial L2,0:00:27.5,Raven,13.4,11.1,01/05/2022 15:44:46.7,0:00:07.0,0:00:20.5,0:00:27.5,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53137
alexis,Female,07/06/2021,CRL: Long Evans,14290,N/A,Sarah,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,3,1,01/05/2022 15:45:35.4,01/05/2022 15:45:35.3,1,20.1,Trial     9,v.1 Detection Settings,P2 Diagonal L2,0:00:27.2,Alexis,13.1,11.1,01/05/2022 15:45:35.4,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53138
sarah,Female,07/06/2021,CRL: Long Evans,14290,N/A,Alexis,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,3,1,01/05/2022 15:45:35.4,01/05/2022 15:45:35.3,1,20.1,Trial     9,v.1 Detection Settings,P2 Diagonal L2,0:00:27.2,Sarah,13.1,11.1,01/05/2022 15:45:35.4,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53139
kryssia,Female,07/06/2021,CRL: Long Evans,14291,N/A,Raven,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,3,1,01/05/2022 15:45:35.4,01/05/2022 15:45:35.3,1,20.1,Trial     9,v.1 Detection Settings,P2 Diagonal L2,0:00:27.2,Kryssia,13.1,11.1,01/05/2022 15:45:35.4,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53140
raven,Female,07/06/2021,CRL: Long Evans,14291,N/A,Kryssia,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,3,1,01/05/2022 15:45:35.4,01/05/2022 15:45:35.3,1,20.1,Trial     9,v.1 Detection Settings,P2 Diagonal L2,0:00:27.2,Raven,13.1,11.1,01/05/2022 15:45:35.4,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53141
alexis,Female,07/06/2021,CRL: Long Evans,14290,N/A,Sarah,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,3,1,01/05/2022 15:46:24.1,01/05/2022 15:46:24.0,2,20.1,Trial    10,v.1 Detection Settings,P2 Grid L2,0:00:27.2,Alexis,13.1,11.1,01/05/2022 15:46:24.1,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53142
sarah,Female,07/06/2021,CRL: Long Evans,14290,N/A,Alexis,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,3,1,01/05/2022 15:46:24.1,01/05/2022 15:46:24.0,2,20.1,Trial    10,v.1 Detection Settings,P2 Grid L2,0:00:27.2,Sarah,13.1,11.1,01/05/2022 15:46:24.1,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53143
kryssia,Female,07/06/2021,CRL: Long Evans,14291,N/A,Raven,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,3,1,01/05/2022 15:46:24.1,01/05/2022 15:46:24.0,2,20.1,Trial    10,v.1 Detection Settings,P2 Grid L2,0:00:27.2,Kryssia,13.1,11.1,01/05/2022 15:46:24.1,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53144
raven,Female,07/06/2021,CRL: Long Evans,14291,N/A,Kryssia,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,3,1,01/05/2022 15:46:24.1,01/05/2022 15:46:24.0,2,20.1,Trial    10,v.1 Detection Settings,P2 Grid L2,0:00:27.2,Raven,13.1,11.1,01/05/2022 15:46:24.1,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53145
